"Time","Prey"
2.35,30.7406442676981
2.36,30.6429533684903
2.37,30.5453073930654
2.38,30.4477085912164
2.39,30.3501592036628
2.4,30.2526614618913
2.41,30.1552175879976
2.42,30.0578297945307
2.43,29.9605002843389
2.44,29.863231250417
2.45,29.7660248757564
2.46,29.6688833331958
2.47,29.5718087852751
2.48,29.47480338409
2.49,29.3778692711491
2.5,29.2810085772331
2.51,29.1842234222554
2.52,29.0875159151252
2.53,28.9908881536123
2.54,28.8943422242137
2.55,28.7978802020226
2.56,28.7015041505992
2.57,28.6052161218435
2.58,28.5090181558705
2.59,28.4129122808867
2.6,28.3169005130695
2.61,28.2209848564482
2.62,28.1251673027873
2.63,28.0294498314713
2.64,27.933834409393
2.65,27.8383229908421
2.66,27.7429175173974
2.67,27.6476199178206
2.68,27.5524321079517
